method,nmi,ari,acc,dataset
CoclustMod,0.3831221414895183,0.3189963582765993,0.5132916340891321,r8
CoclustInfo,0.4156671442147566,0.23469717297259823,0.3511858222569716,r8
CoclustModFuzzy,0.4766787818643743,0.3491464422704835,0.6214490487359916,r8
